window_index,accel_mag_max,accel_mag_p95,gyro_mag_max,gyro_mag_p95,jerk_abs_max,jerk_abs_p95,anomaly_score,is_abnormal
5.200000000000000000e+01,9.421703338623046875e+00,9.421703338623046875e+00,4.320773482322692871e-02,4.320773482322692871e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.993070011065360969e-01,0.000000000000000000e+00
5.300000000000000000e+01,1.096108818054199219e+01,1.018515682220458984e+01,4.320773482322692871e-02,4.320773482322692871e-02,1.105080108642578125e+02,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
5.400000000000000000e+01,1.096108818054199219e+01,1.018515682220458984e+01,4.320773482322692871e-02,4.320773482322692871e-02,1.105080108642578125e+02,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
5.500000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,4.211399331688880920e-02,4.211399331688880920e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
5.600000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,4.211399331688880920e-02,4.211399331688880920e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
5.700000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,4.211399331688880920e-02,4.211399331688880920e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
5.800000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,4.211399331688880920e-02,4.211399331688880920e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
5.900000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,4.211399331688880920e-02,4.211399331688880920e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
6.000000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
6.100000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
6.200000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
6.300000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
6.400000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
6.500000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
6.600000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
6.700000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
6.800000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
6.900000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
7.000000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
